revista,ISSN,categoria,SJR_Q,cantidad,porcentaje
REVISTA DE PAZ Y CONFLICTOS,1988-7221,Sin categoria,Sin categoria,1,0.2
PRISMA SOCIAL,1989-3469,B,Q3,1,0.2
ESCRITOS DE PSICOLOGÍA,1989-3809,Sin categoria,Sin categoria,1,0.2
JOURNAL OF SPORT AND HEALTH RESEARCH,1989-6239,B,Q3,1,0.2
REVISTA IBEROAMERICANA DE EDUCACION SUPERIOR,2007-2872,B,Q4,1,0.2
REVISTA DE INVESTIGACIÓN EDUCATIVA DE LA ESCUELA DE GRADUADOS EN EDUCACIÓN,2007-2996,Sin categoria,Sin categoria,1,0.2
THEOLOGICA XAVERIANA,2011-219X,B,Q4,1,0.2
CALLE 14: REVISTA DE INVESTIGACIÓN EN EL CAMPO DEL ARTE,2011-3757,Sin categoria,Sin categoria,1,0.2
EDUCACION Y DESARROLLO SOCIAL,2011-5318,Sin categoria,Sin categoria,1,0.2
ΙATREIA,2011-7965,C,Sin categoria,1,0.2
QUADERNOS DE PSICOLOGIA,2014-4520,C,Q4,1,0.2
REVISTA KAVILANDO,2027-2391,Sin categoria,Sin categoria,1,0.2
PENSAMIENTO AMERICANO,2027-2448,C,Sin categoria,1,0.2
NANOSCALE,2040-3372,A1,Q1,1,0.2
JOURNAL OF ADVANCED RESEARCH,2090-1232,A1,Q1,1,0.2
"ALETHEIA REVISTA DE DESARROLLO HUMANO,
EDUCATIVO Y SOCIAL CONTEMPORÁNEO",2145-0366,C,Sin categoria,1,0.2
JOURNAL DE CIENCIA E INGENIERÍA,2145-2628,Sin categoria,Sin categoria,1,0.2
AVANCES EN PSICOLOGÍA LATINOAMERICANA,2145-4515,C,Sin categoria,1,0.2
REVISTA DE PSICOLOGÍA UNIVERSIDAD DE ANTIOQUIA,2145-4892,Sin categoria,Sin categoria,1,0.2
"THE TURKISH ONLINE JOURNAL OF DESIGN, ART AND COMMUNICATION - TOJDAC",2146-5193,Sin categoria,Sin categoria,1,0.2
AIP ADVANCES,2158-3226,A2,Q2,1,0.2
QUALITATIVE REPORT,2160-3715,A1,Sin categoria,1,0.2
BOLETIN DE LA SOCIEDAD ESPANOLA DE CERAMICA Y VIDRIO,2173-0431,A2,Sin categoria,1,0.2
AGLALA,2215-7360,B,Sin categoria,1,0.2
TEXTOS Y SENTIDOS,2215-8820,Sin categoria,Sin categoria,1,0.2
JOURNAL OF PHYSICAL EDUCATION AND SPORT,2247-8051,B,Q3,1,0.2
JOURNAL OF PHYSICAL EDUCATION AND SPORT,2247-806X,B,Q3,1,0.2
FINANZAS Y POLÍTICA ECONÓMICA,2248-6046,C,Q4,1,0.2
GIST EDUCATION AND LEARNING RESEARCH JOURNAL,2248-8391,Sin categoria,Sin categoria,1,0.2
REVISTA INTERNACIONAL DE HUMANIDADES,2253-6825,Sin categoria,Sin categoria,1,0.2
REVISTA DE PSICOLOGÍA UNIVERSIDAD DE ANTIOQUIA,2256-1102,Sin categoria,Sin categoria,1,0.2
REVISTA GUILLERMO DE OCKHAM,2256-3202,B,Sin categoria,1,0.2
REVISTA REPUBLICANA,2256-5027,B,Q4,1,0.2
DESDE EL JARDÍN DE FREUD,2256-5477,Sin categoria,Sin categoria,1,0.2
MEDITERRANEAN JOURNAL OF CLINICAL PSYCHOLOGY,2282-1619,A2,Q2,1,0.2
CONTEXTO,2339-3084,Sin categoria,Sin categoria,1,0.2
RHS-REVISTA HUMANISMO Y SOCIEDAD,2339-4196,Sin categoria,Sin categoria,1,0.2
REVISTA ESPAÑOLA DE DISCAPACIDAD,2340-5104,Sin categoria,Sin categoria,1,0.2
KÉNOSIS,2346-1209,Sin categoria,Sin categoria,1,0.2
JOURNAL OF NEUROANAESTHESIOLOGY AND CRITICAL CARE,2348-0548,Sin categoria,Sin categoria,1,0.2
DATA IN BRIEF,2352-3409,C,Q4,1,0.2
AIMS MATERIALS SCIENCE,2372-0468,B,Q3,1,0.2
REVISTA COLLECTIVUS,2382-4018,Sin categoria,Sin categoria,1,0.2
CULTURA EDUCACIÓN Y SOCIEDAD,2389-7724,C,Sin categoria,1,0.2
CLÍO AMÉRICA,2389-7848,C,Sin categoria,1,0.2
TEMPUS,2422-2976,Sin categoria,Sin categoria,1,0.2
REVISTA ARGENTINA DE INVESTIGACIÓN EN NEGOCIOS,2422-5282,Sin categoria,Sin categoria,1,0.2
CIENCIA EN DESARROLLO,2462-7658,B,Sin categoria,1,0.2
ELEUTHERA,2463-1469,Sin categoria,Sin categoria,1,0.2
APUNTES CONTABLES,2619-4899,Sin categoria,Sin categoria,1,0.2
